4,접두,코드,code,2026-05-25,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:363580,363580,KODEX 200IT TR,1034,"24,974","61,285",145%,"25,823,116","63,368,690","37,545,574",WON,1,"63,368,690",47%,47%
2,krx:,krx:278530,278530,KODEX 200TR,549,"24,340","44,570",83%,"13,362,660","24,468,930","11,106,270",WON,1,"24,468,930",18%,65%
3,krx:,krx:315960,315960,RISE 대형고배당10TR,278,44691,89475,1,12424098,24874050,12449952,WON,1,24874050,0.18,0.83
4,krx:,krx:315930,315930,KODEX Top5PlusTR,255,48529,90765,0.87,12374895,23145075,10770180,WON,1,23145075,0.17,1
