10,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:456600,456600,TIME 글로벌AI인공지능액티브,3223,"31,839","64,950",104%,"102,617,097","209,333,850","106,716,753",WON,1,"209,333,850",29%,29%
2,krx:,krx:446770,446770,ACE 글로벌반도체TOP4 PLUS,1620,"58,378","85,500",46%,"94,572,360","138,510,000","43,937,640",WON,1,"138,510,000",19%,48%
3,krx:,krx:465580,465580,ACE 미국빅테크TOP7 PLUS,5215,15380,26270,0.71,80206700,136998050,56791350,WON,1,136998050,0.19,0.66
4,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,3679,20331,34980,0.72,74797749,128691420,53893671,WON,1,128691420,0.18,0.84
5,krx:,krx:390390,390390,KODEX 미국반도체,1602,33466,59070,0.77,53612532,94630140,41017608,WON,1,94630140,0.13,0.97
6,krx:,krx:485540,485540,KODEX 미국AI테크TOP10,1258,14838,17080,0.15,18666204,21486640,2820436,WON,1,21486640,0.03,1
7,krx:,krx:379810,379810,KODEX 미국나스닥100,1,18225,29645,0.63,18225,29645,11420,WON,1,29645,0,1
8,krx:,krx:487230,487230,KODEX 미국AI전력핵심인프라,1,19055,26535,0.39,19055,26535,7480,WON,1,26535,0,1
9,krx:,krx:483570,483570,KCGI 미국S&P500 TOP10,1,10715,17560,0.64,10715,17560,6845,WON,1,17560,0,1
10,krx:,krx:371160,371160,TIGER 차이나항셍테크,1,9030,8110,-0.1,9030,8110,-920,WON,1,8110,0,1
