2,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,14741,"10,993","34,980",218%,"162,047,813","515,640,180","353,592,367",WON,1,"515,640,180",76%,76%
2,krx:,krx:472170,472170,TIGER 미국테크TOP10채권혼합,11034,"10,737","14,725",37%,"118,472,058","162,475,650","44,003,592",WON,1,"162,475,650",24%,100%
