3,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:363580,363580,KODEX 200IT TR,690,"12,866","61,285",376%,"8,877,540","42,286,650","33,409,110",WON,1,"42,286,650",41%,41%
2,krx:,krx:315960,315960,RISE 대형고배당10TR,391,"23,850","89,475",275%,"9,325,350","34,984,725","25,659,375",WON,1,"34,984,725",34%,75%
3,krx:,krx:278530,278530,KODEX 200TR,562,"15,531","44,570",187%,"8,728,422","25,048,340","16,319,918",WON,1,"25,048,340",24%,100%
