5,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:000660,660,SK 하이닉스,"1,177","340,052","1,941,000",471%,"400,241,476","2,284,557,000","1,884,315,524",WON,1,"2,284,557,000",55%,55%
2,krx:,krx:005930,5930,삼성전자,"4,206","99,420","292,500",194%,"418,159,860","1,230,255,000","812,095,140",WON,1,"1,230,255,000",30%,85%
3,KOSDAQ:,KOSDAQ:058470,58470,리노공업,"3,970","37,800","106,500",182%,"150,066,000","422,805,000","272,739,000",WON,1,"422,805,000",10%,95%
4,krx:,krx:138040,"138,040",메리츠금융지주,996,"100,400","109,200",9%,"99,998,400","108,763,200","8,764,800",WON,1,"108,763,200",3%,98%
5,krx:,krx:000270,270,기아,492,"101,708","164,800",62%,"50,040,336","81,081,600","31,041,264",WON,1,"81,081,600",2%,100%
