9,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:379810,379810,KODEX 미국나스닥100,1860,"11,425","29,645",159%,"21,250,500","55,139,700","33,889,200",WON,1,"55,139,700",78%,78%
2,krx:,krx:0082V0,0082V0,KODEX TDF2060액티브 적격,1198,"10,258","12,375",21%,"12,289,084","14,825,250","2,536,166",WON,1,"14,825,250",21%,99%
3,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,7,11852,34980,1.95,82964,244860,161896,WON,1,244860,0,0.99
4,krx:,krx:133690,133690,TIGER 미국나스닥100,1,79890,197990,1.48,79890,197990,118100,WON,1,197990,0,1
5,krx:,krx:314250,314250,KODEX 미국빅테크10(H),1,21480,58695,1.73,21480,58695,37215,WON,1,58695,0,1
6,krx:,krx:390390,390390,KODEX 미국반도체,1,10615,59070,4.56,10615,59070,48455,WON,1,59070,0,1
7,krx:,krx:381180,381180,TIGER 미국필라델피아반도체나스닥,1,10525,47770,3.54,10525,47770,37245,WON,1,47770,0,1
8,krx:,krx:251350,251350,KODEX MSCI선진국,1,21220,41625,0.96,21220,41625,20405,WON,1,41625,0,1
9,krx:,krx:367380,367380,ACE 미국나스닥100,1,13530,34050,1.52,13530,34050,20520,WON,1,34050,0,1
