9,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:483570,483570,KCGI 미국S&P500 TOP10,4544,"12,113","17,560",45%,"55,041,472","79,792,640","24,751,168",WON,1,"79,792,640",23%,23%
2,krx:,krx:426020,426020,TIME 미국S&P500액티브,2082,"24,570","35,060",43%,"51,154,740","72,994,920","21,840,180",WON,1,"72,994,920",21%,44%
3,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,1579,"26,798","34,980",31%,"42,314,042","55,233,420","12,919,378",WON,1,"55,233,420",16%,60%
4,krx:,krx:379800,379800,KODEX 미국S&P500,2021,19384,25615,0.32,39175064,51767915,12592851,WON,1,51767915,0.15,0.75
5,krx:,krx:473460,473460,KODEX 미국서학개미,1545,20120,27595,0.37,31085400,42634275,11548875,WON,1,42634275,0.12,0.88
6,krx:,krx:473590,473590,ACE 미국주식베스트셀러,857,21560,25400,0.18,18476920,21767800,3290880,WON,1,21767800,0.06,0.94
7,krx:,krx:390390,390390,KODEX 미국반도체,190,56674,59070,0.04,10768060,11223300,455240,WON,1,11223300,0.03,0.97
8,krx:,krx:487230,487230,KODEX 미국AI전력핵심인프라,374,26374,26535,0.01,9863876,9924090,60214,WON,1,9924090,0.03,1
9,krx:,krx:0047A0,0047A0,TIGER 차이나테크TOP10,1,12460,14230,0.14,12460,14230,1770,WON,1,14230,0,1
